date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:47	43718/43718	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-aac6%22	https://themewagon.github.io/LifeSure/about.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/about.html	(from https://themewagon.github.io/LifeSure/)
06:56:48	35700/35700	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-8b74%22	https://themewagon.github.io/LifeSure/service.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/service.html	(from https://themewagon.github.io/LifeSure/)
06:56:48	29872/29872	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-74b0%22	https://themewagon.github.io/LifeSure/blog.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/blog.html	(from https://themewagon.github.io/LifeSure/)
06:56:48	28151/28151	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-6df7%22	https://themewagon.github.io/LifeSure/feature.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/feature.html	(from https://themewagon.github.io/LifeSure/)
06:56:49	30330/30330	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-767a%22	https://themewagon.github.io/LifeSure/team.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/team.html	(from https://themewagon.github.io/LifeSure/)
06:56:49	30124/30124	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-75ac%22	https://themewagon.github.io/LifeSure/testimonial.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/testimonial.html	(from https://themewagon.github.io/LifeSure/)
06:56:50	29192/29192	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-7208%22	https://themewagon.github.io/LifeSure/FAQ.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/FAQ.html	(from https://themewagon.github.io/LifeSure/)
06:56:50	25286/25286	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-62c6%22	https://themewagon.github.io/LifeSure/404.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/404.html	(from https://themewagon.github.io/LifeSure/)
06:56:51	32738/32738	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-7fe2%22	https://themewagon.github.io/LifeSure/contact.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/contact.html	(from https://themewagon.github.io/LifeSure/)
06:56:51	37722/37722	---M--	200	added ('OK')	image/png	etag:%22668a6a41-935a%22	https://themewagon.github.io/LifeSure/img/carousel-2.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/carousel-2.png	(from https://themewagon.github.io/LifeSure/)
06:56:51	37669/37669	---M--	200	added ('OK')	image/png	etag:%22668a6a41-9325%22	https://themewagon.github.io/LifeSure/img/about-1.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/about-1.png	(from https://themewagon.github.io/LifeSure/)
06:56:51	31745/31745	---M--	200	added ('OK')	image/png	etag:%22668a6a41-7c01%22	https://themewagon.github.io/LifeSure/img/blog-1.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/blog-1.png	(from https://themewagon.github.io/LifeSure/)
06:56:52	24807/24807	---M--	200	added ('OK')	image/png	etag:%22668a6a41-60e7%22	https://themewagon.github.io/LifeSure/img/blog-2.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/blog-2.png	(from https://themewagon.github.io/LifeSure/)
06:56:52	26471/26471	---M--	200	added ('OK')	image/png	etag:%22668a6a41-6767%22	https://themewagon.github.io/LifeSure/img/blog-3.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/blog-3.png	(from https://themewagon.github.io/LifeSure/)
06:56:52	51205/51205	---M--	200	added ('OK')	image/png	etag:%22668a6a41-c805%22	https://themewagon.github.io/LifeSure/img/blog-4.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/blog-4.png	(from https://themewagon.github.io/LifeSure/)
06:56:52	24582/24582	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-6006%22	https://themewagon.github.io/LifeSure/img/team-1.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/team-1.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:52	18379/18379	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-47cb%22	https://themewagon.github.io/LifeSure/img/team-2.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/team-2.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:53	23708/23708	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-5c9c%22	https://themewagon.github.io/LifeSure/img/team-3.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/team-3.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:53	14349/14349	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-380d%22	https://themewagon.github.io/LifeSure/img/team-4.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/team-4.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:53	30943/30943	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-78df%22	https://themewagon.github.io/LifeSure/img/testimonial-1.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/testimonial-1.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:53	26110/26110	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-65fe%22	https://themewagon.github.io/LifeSure/img/testimonial-2.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/testimonial-2.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:54	30562/30562	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-7762%22	https://themewagon.github.io/LifeSure/img/testimonial-3.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/testimonial-3.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:54	30354/30354	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-7692%22	https://themewagon.github.io/LifeSure/img/instagram-footer-1.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/instagram-footer-1.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:54	25343/25343	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-62ff%22	https://themewagon.github.io/LifeSure/img/instagram-footer-2.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/instagram-footer-2.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:54	20038/20038	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-4e46%22	https://themewagon.github.io/LifeSure/img/instagram-footer-3.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/instagram-footer-3.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:54	12618/12618	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-314a%22	https://themewagon.github.io/LifeSure/img/instagram-footer-4.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/instagram-footer-4.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:55	16982/16982	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-4256%22	https://themewagon.github.io/LifeSure/img/instagram-footer-5.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/instagram-footer-5.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:55	11035/11035	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-2b1b%22	https://themewagon.github.io/LifeSure/img/instagram-footer-6.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/instagram-footer-6.jpg	(from https://themewagon.github.io/LifeSure/)
06:56:56	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Mes%20Sites%20Web/tele/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:56	89795/89795	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2003:27:01%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	C:/Mes%20Sites%20Web/tele/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:56	8159/8159	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a6a41-1fdf%22	https://themewagon.github.io/LifeSure/lib/wow/wow.min.js	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/wow/wow.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:57	2303/2303	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a6a41-8ff%22	https://themewagon.github.io/LifeSure/lib/easing/easing.min.js	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/easing/easing.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:57	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a6a41-2344%22	https://themewagon.github.io/LifeSure/lib/waypoints/waypoints.min.js	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:57	2406/2406	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a6a41-966%22	https://themewagon.github.io/LifeSure/lib/counterup/counterup.min.js	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/counterup/counterup.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:57	9754/9754	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a6a41-261a%22	https://themewagon.github.io/LifeSure/lib/lightbox/js/lightbox.min.js	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/lightbox/js/lightbox.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:58	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a6a41-a70e%22	https://themewagon.github.io/LifeSure/lib/owlcarousel/owl.carousel.min.js	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/LifeSure/)
06:56:58	2321/2321	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a6a41-911%22	https://themewagon.github.io/LifeSure/js/main.js	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/js/main.js	(from https://themewagon.github.io/LifeSure/)
06:56:58	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Mes%20Sites%20Web/tele/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
06:56:59	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Mes%20Sites%20Web/tele/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
06:56:59	8476/8476	---M--	200	added ('OK')	image/gif	etag:%22668a6a41-211c%22	https://themewagon.github.io/LifeSure/lib/lightbox/images/loading.gif	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/lightbox/images/loading.gif	(from https://themewagon.github.io/LifeSure/lib/lightbox/css/lightbox.min.css)
06:57:00	4976/4976	---M--	200	added ('OK')	image/png	etag:%22668a6a41-1370%22	https://themewagon.github.io/LifeSure/lib/owlcarousel/assets/owl.video.play.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/LifeSure/lib/owlcarousel/assets/owl.carousel.min.css)
06:57:01	76210/76210	---M--	200	added ('OK')	image/jpeg	etag:%22668a6a41-129b2%22	https://themewagon.github.io/LifeSure/img/bg-breadcrumb.jpg	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/bg-breadcrumb.jpg	(from https://themewagon.github.io/LifeSure/css/style.css)
06:57:02	63038/63038	---M--	200	added ('OK')	image/png	etag:%22668a6a41-f63e%22	https://themewagon.github.io/LifeSure/img/contact-img.png	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/img/contact-img.png	(from https://themewagon.github.io/LifeSure/contact.html)
06:57:02	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
